Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL,name_key,PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,DRAFT_TEAM,ORGANIZATION,pick_bin,era,years_pro,SALARY_USD,SALARY_SEASON_LABEL,VORP_per_1M,WS_per_1M
Rasual Butler,29.0,NOH,SF,82.0,2614.0,11.8,4.6,0.084,2.2,2.4,-0.5,0.0,-0.5,1.0,0.541,16.8,2009,2008-09,rasual butler,2446,Rasual Butler,2002,52,2,Miami,La Salle,Second Round,Pre-Analytics,7,3630000.0,2008-09,0.27548209366391185,1.2672176308539944
Trevor Ariza,23.0,LAL,SF,82.0,1999.0,15.5,6.1,0.146,2.5,3.5,2.4,0.2,2.2,2.3,0.544,16.6,2009,2008-09,trevor ariza,2772,Trevor Ariza,2004,43,2,New York,California-Los Angeles,Second Round,Pre-Analytics,5,3100000.0,2008-09,0.7419354838709676,1.9677419354838708
Luke Ridnour,23.0,SEA,PG,82.0,2571.0,14.6,5.4,0.1,4.3,1.0,0.7,1.4,-0.7,1.8,0.504,17.4,2005,2004-05,luke ridnour,2557,Luke Ridnour,2003,14,1,Seattle,Oregon,Picks 6-14,Pre-Analytics,2,,,,
Dwight Howard,19.0,ORL,PF,82.0,2670.0,17.2,7.3,0.131,3.8,3.5,0.0,0.1,-0.1,1.4,0.571,16.7,2005,2004-05,dwight howard,2730,Dwight Howard,2004,1,1,Orlando,Southwest Atlanta Christian Academy,Top 5,Pre-Analytics,1,,,,
Hakim Warrick,26.0,MEM,PF,82.0,2029.0,16.9,4.7,0.111,3.0,1.7,-0.7,0.2,-0.9,0.7,0.554,22.0,2009,2008-09,hakim warrick,101124,Hakim Warrick,2005,19,1,Memphis,Syracuse,Picks 15-30,Pre-Analytics,4,2119102.0,2008-09,0.33032860145476717,2.2179206097677224
Samuel Dalembert,27.0,PHI,C,82.0,2036.0,13.2,4.0,0.095,0.5,3.5,-2.1,-2.9,0.8,0.0,0.535,13.6,2009,2008-09,samuel dalembert,2223,Samuel Dalembert,2001,26,1,Philadelphia,Seton Hall,Picks 15-30,Pre-Analytics,8,11238564.0,2008-09,0.0,0.35591735741327807
Kyle Korver,23.0,PHI,SF,82.0,2667.0,12.8,6.6,0.119,3.3,3.3,1.4,0.5,0.9,2.3,0.588,15.1,2005,2004-05,kyle korver,2594,Kyle Korver,2003,51,2,New Jersey,Creighton,Second Round,Pre-Analytics,2,,,,
Travis Best,25.0,IND,PG,82.0,1547.0,13.6,3.3,0.103,1.2,2.1,0.3,-1.2,1.4,0.9,0.498,20.0,1998,1997-98,travis best,696,Travis Best,1995,23,1,Indiana,Georgia Tech,Picks 15-30,Pre-Analytics,3,,,,
O.J. Mayo,22.0,MEM,SG,82.0,3113.0,14.6,5.6,0.087,4.3,1.4,0.0,0.8,-0.8,1.6,0.551,20.7,2010,2009-10,o.j. mayo,201564,O.J. Mayo,2008,3,1,Minnesota,Southern California,Top 5,Pre-Analytics,2,4165560.0,2009-10,0.3841020174958469,1.344357061235464
Cedric Henderson,22.0,CLE,SF,82.0,2527.0,10.7,3.8,0.072,-0.2,4.0,-1.6,-2.7,1.1,0.3,0.514,17.8,1998,1997-98,cedric henderson,1538,Cedric Henderson,1997,44,2,Cleveland,Memphis,Second Round,Pre-Analytics,1,,,,
Rafer Alston,27.0,MIA,PG,82.0,2581.0,13.7,5.9,0.11,3.1,2.8,0.9,0.2,0.7,1.9,0.509,17.3,2004,2003-04,rafer alston,1747,Rafer Alston,1998,39,2,Milwaukee,Fresno State,Second Round,Pre-Analytics,6,,,,
Taj Gibson,24.0,CHI,PF,82.0,2204.0,13.8,4.7,0.103,1.2,3.5,-2.0,-2.4,0.5,0.0,0.521,16.7,2010,2009-10,taj gibson,201959,Taj Gibson,2009,26,1,Chicago,Southern California,Picks 15-30,Pre-Analytics,1,1039800.0,2009-10,0.0,4.5201000192344685
Arron Afflalo,24.0,DEN,SG,82.0,2221.0,10.9,4.3,0.092,2.8,1.4,-0.4,-0.2,-0.2,0.9,0.576,14.0,2010,2009-10,arron afflalo,201167,Arron Afflalo,2007,27,1,Detroit,California-Los Angeles,Picks 15-30,Pre-Analytics,3,1086240.0,2009-10,0.8285461776403005,3.9586095153925465
Desmond Mason,26.0,MIL,SF,82.0,2534.0,15.7,5.7,0.107,4.4,1.2,-0.4,0.5,-0.9,1.0,0.552,21.8,2004,2003-04,desmond mason,2046,Desmond Mason,2000,17,1,Seattle,Oklahoma State,Picks 15-30,Pre-Analytics,4,1898000.0,2003-04,0.5268703898840885,3.0031612223393047
Derek Fisher,35.0,LAL,PG,82.0,2227.0,9.3,3.9,0.085,1.2,2.7,-1.7,-2.9,1.3,0.2,0.499,14.0,2010,2009-10,derek fisher,965,Derek Fisher,1996,24,1,Los Angeles,Arkansas-Little Rock,Picks 15-30,Pre-Analytics,14,5048000.0,2009-10,0.03961965134706815,0.7725832012678289
