Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
Isaac Austin,27.0,MIA,C,82.0,1881.0,14.2,4.0,0.102,0.3,3.7,-1.7,-2.5,0.8,0.1,0.536,22.5,1997,1996-97
Muggsy Bogues,32.0,CHH,PG,65.0,1880.0,15.7,5.0,0.127,3.9,1.1,1.5,1.9,-0.4,1.6,0.554,14.5,1997,1996-97
Mark Price,32.0,GSW,PG,70.0,1876.0,16.5,4.0,0.102,3.7,0.3,1.2,2.8,-1.6,1.5,0.597,19.6,1997,1996-97
Brian Shaw,30.0,ORL,PG,77.0,1867.0,10.4,1.1,0.029,-0.6,1.7,-2.2,-2.2,0.0,-0.1,0.478,18.5,1997,1996-97
Greg Anthony,29.0,VAN,PG,65.0,1863.0,16.6,3.5,0.09,2.3,1.2,1.5,0.9,0.5,1.6,0.526,17.8,1997,1996-97
Steve Kerr,31.0,CHI,PG,82.0,1861.0,15.6,7.5,0.192,5.4,2.0,3.2,2.2,1.1,2.5,0.667,12.9,1997,1996-97
Gheorghe Mureșan,25.0,WSB,C,73.0,1849.0,16.7,5.3,0.139,2.5,2.9,-0.7,-1.1,0.4,0.6,0.618,18.1,1997,1996-97
Roy Rogers,23.0,VAN,PF,82.0,1848.0,12.6,1.4,0.037,0.3,1.1,-3.7,-3.4,-0.3,-0.8,0.518,15.3,1997,1996-97
Chris Dudley,31.0,POR,C,81.0,1840.0,10.1,3.5,0.091,0.0,3.4,-1.9,-2.9,1.1,0.0,0.449,10.6,1997,1996-97
Carl Herrera,30.0,SAS,PF,75.0,1837.0,10.6,0.1,0.002,-0.8,0.9,-5.0,-4.0,-1.0,-1.4,0.463,18.7,1997,1996-97
Rex Chapman,29.0,PHO,SG,65.0,1833.0,15.2,3.3,0.086,2.4,0.9,0.2,1.3,-1.0,1.0,0.551,22.4,1997,1996-97
Eric Montross,25.0,2TM,C,78.0,1828.0,8.8,1.4,0.036,-0.3,1.6,-4.8,-4.3,-0.4,-1.3,0.45,11.0,1997,1996-97
Eric Montross,25.0,DAL,C,47.0,984.0,6.6,0.1,0.005,-0.8,0.9,-6.0,-5.7,-0.3,-1.0,0.451,11.8,1997,1996-97
